disp_id,client_id,account_id,type
D00000001,1,A00000001,Owner
D00000002,2,A00000002,Owner
D00000003,3,A00000002,User
D00000004,4,A00000003,Owner
D00000005,5,A00000003,User
D00000006,6,A00000004,Owner
D00000007,7,A00000005,Owner
D00000008,8,A00000006,Owner
D00000009,9,A00000007,Owner
D00000010,10,A00000008,Owner
D00000011,11,A00000008,User
D00000012,12,A00000009,Owner
D00000013,13,A00000010,Owner
D00000014,14,A00000011,Owner
D00000015,15,A00000012,Owner
D00000016,16,A00000012,User
D00000017,17,A00000013,Owner
D00000018,18,A00000013,User
D00000019,19,A00000014,Owner
D00000020,20,A00000015,Owner
D00000021,21,A00000016,Owner
D00000022,22,A00000017,Owner
D00000023,23,A00000017,User
D00000024,24,A00000018,Owner
D00000025,25,A00000019,Owner
D00000026,26,A00000020,Owner
D00000027,27,A00000021,Owner
D00000028,28,A00000022,Owner
D00000029,29,A00000023,Owner
D00000030,30,A00000024,Owner
D00000031,31,A00000025,Owner
D00000032,32,A00000026,Owner
D00000033,33,A00000027,Owner
D00000036,36,A00000029,Owner
D00000037,37,A00000029,User
D00000038,38,A00000030,Owner
D00000039,39,A00000031,Owner
D00000040,40,A00000032,Owner
D00000041,41,A00000033,Owner
D00000042,42,A00000034,Owner
D00000043,43,A00000035,Owner
D00000044,44,A00000036,Owner
D00000045,45,A00000037,Owner
D00000046,46,A00000038,Owner
D00000047,47,A00000039,Owner
D00000048,48,A00000040,Owner
D00000049,49,A00000041,Owner
D00000050,50,A00000042,Owner
D00000051,51,A00000043,Owner
D00000052,52,A00000044,Owner
D00000053,53,A00000045,Owner
D00000055,55,A00000047,Owner
D00000056,56,A00000048,Owner
D00000057,57,A00000048,User
D00000058,58,A00000049,Owner
D00000059,59,A00000050,Owner
D00000060,60,A00000051,Owner
D00000061,61,A00000052,Owner
D00000062,62,A00000053,Owner
D00000063,63,A00000054,Owner
D00000064,64,A00000055,Owner
D00000065,65,A00000056,Owner
D00000066,66,A00000057,Owner
D00000067,67,A00000058,Owner
D00000068,68,A00000059,Owner
D00000070,70,A00000061,Owner
D00000071,71,A00000061,User
D00000072,72,A00000062,Owner
D00000073,73,A00000063,Owner
D00000074,74,A00000063,User
D00000075,75,A00000064,Owner
D00000076,76,A00000065,Owner
D00000077,77,A00000066,Owner
D00000078,78,A00000067,Owner
D00000079,79,A00000068,Owner
D00000080,80,A00000069,Owner
D00000081,81,A00000070,Owner
D00000082,82,A00000070,User
D00000083,83,A00000071,Owner
D00000084,84,A00000071,User
